Location,date,total_cases,new_cases,total_deaths,population
Afghanistan,2/24/2020,1,1,,38928341
Afghanistan,2/25/2020,1,0,,38928341
Afghanistan,2/26/2020,1,0,,38928341
Afghanistan,2/27/2020,1,0,,38928341
Afghanistan,2/28/2020,1,0,,38928341
Afghanistan,2/29/2020,1,0,,38928341
Afghanistan,3/1/2020,1,0,,38928341
Afghanistan,3/2/2020,1,0,,38928341
Afghanistan,3/3/2020,2,1,,38928341
Afghanistan,3/4/2020,4,2,,38928341
Afghanistan,3/5/2020,4,0,,38928341
Afghanistan,3/6/2020,4,0,,38928341
Afghanistan,3/7/2020,4,0,,38928341
Afghanistan,3/8/2020,5,1,,38928341
Afghanistan,3/9/2020,7,2,,38928341
Afghanistan,3/10/2020,8,1,,38928341
Afghanistan,3/11/2020,11,3,,38928341
Afghanistan,3/12/2020,12,1,,38928341
Afghanistan,3/13/2020,13,1,,38928341
Afghanistan,3/14/2020,15,2,,38928341
Afghanistan,3/15/2020,16,1,,38928341
Afghanistan,3/16/2020,18,2,,38928341
Afghanistan,3/17/2020,20,2,,38928341
Afghanistan,3/18/2020,24,4,,38928341
Afghanistan,3/19/2020,25,1,,38928341
Afghanistan,3/20/2020,29,4,,38928341
Afghanistan,3/21/2020,30,1,,38928341
Afghanistan,3/22/2020,34,4,1,38928341
Afghanistan,3/23/2020,41,7,1,38928341
Afghanistan,3/24/2020,43,2,1,38928341
Afghanistan,3/25/2020,76,33,2,38928341
Afghanistan,3/26/2020,80,4,3,38928341
Afghanistan,3/27/2020,91,11,3,38928341
Afghanistan,3/28/2020,107,16,4,38928341
Afghanistan,3/29/2020,118,11,4,38928341
Afghanistan,3/30/2020,146,28,4,38928341
Afghanistan,3/31/2020,175,29,4,38928341
Afghanistan,4/1/2020,197,22,4,38928341
Afghanistan,4/2/2020,240,43,4,38928341
Afghanistan,4/3/2020,275,35,8,38928341
Afghanistan,4/4/2020,300,25,10,38928341
Afghanistan,4/5/2020,338,38,12,38928341
Afghanistan,4/6/2020,368,30,15,38928341
Afghanistan,4/7/2020,424,56,16,38928341
Afghanistan,4/8/2020,445,21,16,38928341
Afghanistan,4/9/2020,485,40,17,38928341
Afghanistan,4/10/2020,532,47,18,38928341
Afghanistan,4/11/2020,556,24,18,38928341
Afghanistan,4/12/2020,608,52,19,38928341
Afghanistan,4/13/2020,666,58,22,38928341
Afghanistan,4/14/2020,715,49,23,38928341
Afghanistan,4/15/2020,785,70,29,38928341
Afghanistan,4/16/2020,841,56,30,38928341
Afghanistan,4/17/2020,907,66,30,38928341
Afghanistan,4/18/2020,934,27,30,38928341
Afghanistan,4/19/2020,997,63,33,38928341
Afghanistan,4/20/2020,1027,30,36,38928341
Afghanistan,4/21/2020,1093,66,36,38928341
Afghanistan,4/22/2020,1177,84,40,38928341
Afghanistan,4/23/2020,1236,59,40,38928341
Afghanistan,4/24/2020,1331,95,43,38928341
Afghanistan,4/25/2020,1464,133,47,38928341
Afghanistan,4/26/2020,1532,68,52,38928341
Afghanistan,4/27/2020,1704,172,58,38928341
Afghanistan,4/28/2020,1830,126,59,38928341
Afghanistan,4/29/2020,1940,110,61,38928341
Afghanistan,4/30/2020,2127,187,64,38928341
Afghanistan,5/1/2020,2291,164,68,38928341
Afghanistan,5/2/2020,2470,179,72,38928341
Afghanistan,5/3/2020,2705,235,85,38928341
Afghanistan,5/4/2020,2895,190,90,38928341
Afghanistan,5/5/2020,3225,330,95,38928341
Afghanistan,5/6/2020,3393,168,104,38928341
Afghanistan,5/7/2020,3564,171,106,38928341
Afghanistan,5/8/2020,3781,217,109,38928341
Afghanistan,5/9/2020,4042,261,115,38928341
Afghanistan,5/10/2020,4403,361,120,38928341
Afghanistan,5/11/2020,4687,284,122,38928341
Afghanistan,5/12/2020,4968,281,127,38928341
Afghanistan,5/13/2020,5227,259,132,38928341
Afghanistan,5/14/2020,5640,413,136,38928341
Afghanistan,5/15/2020,6054,414,153,38928341
Afghanistan,5/16/2020,6403,349,168,38928341
Afghanistan,5/17/2020,6665,262,170,38928341
Afghanistan,5/18/2020,7073,408,173,38928341
Afghanistan,5/19/2020,7654,581,178,38928341
Afghanistan,5/20/2020,8146,492,188,38928341
Afghanistan,5/21/2020,8677,531,194,38928341
Afghanistan,5/22/2020,9219,542,206,38928341
Afghanistan,5/23/2020,10001,782,217,38928341
Afghanistan,5/24/2020,10585,584,219,38928341
Afghanistan,5/25/2020,11176,591,220,38928341
Afghanistan,5/26/2020,11834,658,221,38928341
Afghanistan,5/27/2020,12459,625,228,38928341
Afghanistan,5/28/2020,13039,580,236,38928341
Afghanistan,5/29/2020,13662,623,247,38928341
Afghanistan,5/30/2020,14528,866,250,38928341
Afghanistan,5/31/2020,15208,680,258,38928341
Afghanistan,6/1/2020,15753,545,266,38928341
Afghanistan,6/2/2020,16512,759,274,38928341
Afghanistan,6/3/2020,17270,758,298,38928341
Afghanistan,6/4/2020,18057,787,304,38928341
Afghanistan,6/5/2020,18972,915,313,38928341
Afghanistan,6/6/2020,19554,582,331,38928341
Afghanistan,6/7/2020,20345,791,361,38928341
Afghanistan,6/8/2020,20920,575,373,38928341
Afghanistan,6/9/2020,21462,542,388,38928341
Afghanistan,6/10/2020,22146,684,409,38928341
Afghanistan,6/11/2020,22894,748,430,38928341
Afghanistan,6/12/2020,23550,656,450,38928341
Afghanistan,6/13/2020,24106,556,455,38928341
Afghanistan,6/14/2020,24770,664,475,38928341
Afghanistan,6/15/2020,25531,761,482,38928341
Afghanistan,6/16/2020,26314,783,495,38928341
Afghanistan,6/17/2020,26878,564,508,38928341
Afghanistan,6/18/2020,27536,658,550,38928341
Afghanistan,6/19/2020,27882,346,552,38928341
Afghanistan,6/20/2020,28428,546,573,38928341
Afghanistan,6/21/2020,28837,409,585,38928341
Afghanistan,6/22/2020,29147,310,597,38928341
Afghanistan,6/23/2020,29471,324,617,38928341
Afghanistan,6/24/2020,29705,234,638,38928341
Afghanistan,6/25/2020,30165,460,674,38928341
Afghanistan,6/26/2020,30441,276,682,38928341
Afghanistan,6/27/2020,30606,165,716,38928341
Afghanistan,6/28/2020,30957,351,728,38928341
Afghanistan,6/29/2020,31228,271,740,38928341
Afghanistan,6/30/2020,31507,279,752,38928341
Afghanistan,7/1/2020,31826,319,780,38928341
Afghanistan,7/2/2020,32012,186,809,38928341
Afghanistan,7/3/2020,32314,302,821,38928341
Afghanistan,7/4/2020,32662,348,828,38928341
Afghanistan,7/5/2020,32941,279,866,38928341
Afghanistan,7/6/2020,33180,239,900,38928341
Afghanistan,7/7/2020,33374,194,922,38928341
Afghanistan,7/8/2020,33584,210,939,38928341
Afghanistan,7/9/2020,33898,314,959,38928341
Afghanistan,7/10/2020,34184,286,973,38928341
Afghanistan,7/11/2020,34356,172,996,38928341
Afghanistan,7/12/2020,34441,85,1012,38928341
Afghanistan,7/13/2020,34595,154,1040,38928341
Afghanistan,7/14/2020,34730,135,1064,38928341
Afghanistan,7/15/2020,34984,254,1096,38928341
Afghanistan,7/16/2020,35060,76,1117,38928341
Afghanistan,7/17/2020,35219,159,1149,38928341
Afghanistan,7/18/2020,35279,60,1166,38928341
Afghanistan,7/19/2020,35453,174,1183,38928341
Afghanistan,7/20/2020,35493,40,1185,38928341
Afghanistan,7/21/2020,35605,112,1188,38928341
Afghanistan,7/22/2020,35717,112,1192,38928341
Afghanistan,7/23/2020,35918,201,1213,38928341
Afghanistan,7/24/2020,35978,60,1227,38928341
Afghanistan,7/25/2020,36026,48,1249,38928341
Afghanistan,7/26/2020,36147,121,1261,38928341
Afghanistan,7/27/2020,36253,106,1271,38928341
Afghanistan,7/28/2020,36358,105,1272,38928341
Afghanistan,7/29/2020,36463,105,1273,38928341
Afghanistan,7/30/2020,36532,69,1283,38928341
Afghanistan,7/31/2020,36665,133,1284,38928341
Afghanistan,8/1/2020,36700,35,1285,38928341
Afghanistan,8/2/2020,36701,1,1286,38928341
Afghanistan,8/3/2020,36737,36,1290,38928341
Afghanistan,8/4/2020,36773,36,1290,38928341
Afghanistan,8/5/2020,36820,47,1296,38928341
Afghanistan,8/6/2020,36928,108,1301,38928341
Afghanistan,8/7/2020,37006,78,1310,38928341
Afghanistan,8/8/2020,37046,40,1315,38928341
Afghanistan,8/9/2020,37083,37,1321,38928341
Afghanistan,8/10/2020,37153,70,1329,38928341
Afghanistan,8/11/2020,37260,107,1346,38928341
Afghanistan,8/12/2020,37336,76,1356,38928341
Afghanistan,8/13/2020,37422,86,1365,38928341
Afghanistan,8/14/2020,37497,75,1370,38928341
Afghanistan,8/15/2020,37542,45,1371,38928341
Afghanistan,8/16/2020,37590,48,1376,38928341
Afghanistan,8/17/2020,37667,77,1378,38928341
Afghanistan,8/18/2020,37710,43,1382,38928341
Afghanistan,8/19/2020,37750,40,1384,38928341
Afghanistan,8/20/2020,37852,102,1386,38928341
Afghanistan,8/21/2020,37885,33,1386,38928341
Afghanistan,8/22/2020,37944,59,1386,38928341
Afghanistan,8/23/2020,37990,46,1388,38928341
Afghanistan,8/24/2020,38045,55,1390,38928341
Afghanistan,8/25/2020,38061,16,1398,38928341
Afghanistan,8/26/2020,38103,42,1402,38928341
Afghanistan,8/27/2020,38119,16,1402,38928341
Afghanistan,8/28/2020,38130,11,1403,38928341
Afghanistan,8/29/2020,38133,3,1403,38928341
Afghanistan,8/30/2020,38155,22,1403,38928341
Afghanistan,8/31/2020,38159,4,1403,38928341
Afghanistan,9/1/2020,38193,34,1407,38928341
Afghanistan,9/2/2020,38243,50,1410,38928341
Afghanistan,9/3/2020,38288,45,1410,38928341
Afghanistan,9/4/2020,38304,16,1410,38928341
Afghanistan,9/5/2020,38324,20,1410,38928341
Afghanistan,9/6/2020,38398,74,1413,38928341
Afghanistan,9/7/2020,38494,96,1416,38928341
Afghanistan,9/8/2020,38520,26,1419,38928341
Afghanistan,9/9/2020,38544,24,1421,38928341
Afghanistan,9/10/2020,38572,28,1421,38928341
Afghanistan,9/11/2020,38606,34,1421,38928341
Afghanistan,9/12/2020,38641,35,1421,38928341
Afghanistan,9/13/2020,38716,75,1421,38928341
Afghanistan,9/14/2020,38772,56,1427,38928341
Afghanistan,9/15/2020,38815,43,1428,38928341
Afghanistan,9/16/2020,38855,40,1438,38928341
Afghanistan,9/17/2020,38872,17,1438,38928341
Afghanistan,9/18/2020,38897,25,1439,38928341
Afghanistan,9/19/2020,38919,22,1439,38928341
Afghanistan,9/20/2020,39044,125,1443,38928341
Afghanistan,9/21/2020,39074,30,1446,38928341
Afghanistan,9/22/2020,39096,22,1447,38928341
Afghanistan,9/23/2020,39145,49,1448,38928341
Afghanistan,9/24/2020,39170,25,1453,38928341
Afghanistan,9/25/2020,39186,16,1453,38928341
Afghanistan,9/26/2020,39192,6,1455,38928341
Afghanistan,9/27/2020,39227,35,1455,38928341
Afghanistan,9/28/2020,39239,12,1458,38928341
Afghanistan,9/29/2020,39254,15,1460,38928341
Afghanistan,9/30/2020,39268,14,1460,38928341
Afghanistan,10/1/2020,39285,17,1460,38928341
Afghanistan,10/2/2020,39290,5,1460,38928341
Afghanistan,10/3/2020,39297,7,1464,38928341
Afghanistan,10/4/2020,39341,44,1464,38928341
Afghanistan,10/5/2020,39422,81,1468,38928341
Afghanistan,10/6/2020,39486,64,1469,38928341
Afghanistan,10/7/2020,39548,62,1471,38928341
Afghanistan,10/8/2020,39616,68,1472,38928341
Afghanistan,10/9/2020,39693,77,1474,38928341
Afghanistan,10/10/2020,39703,10,1475,38928341
Afghanistan,10/11/2020,39799,96,1479,38928341
Afghanistan,10/12/2020,39870,71,1481,38928341
Afghanistan,10/13/2020,39928,58,1482,38928341
Afghanistan,10/14/2020,39994,66,1483,38928341
Afghanistan,10/15/2020,40026,32,1483,38928341
Afghanistan,10/16/2020,40088,62,1487,38928341
Afghanistan,10/17/2020,40141,53,1490,38928341
Afghanistan,10/18/2020,40200,59,1494,38928341
Afghanistan,10/19/2020,40287,87,1499,38928341
Afghanistan,10/20/2020,40369,82,1501,38928341
Afghanistan,10/21/2020,40510,141,1503,38928341
Afghanistan,10/22/2020,40626,116,1507,38928341
Afghanistan,10/23/2020,40687,61,1509,38928341
Afghanistan,10/24/2020,40768,81,1513,38928341
Afghanistan,10/25/2020,40833,65,1516,38928341
Afghanistan,10/26/2020,40937,104,1520,38928341
Afghanistan,10/27/2020,41032,95,1525,38928341
Afghanistan,10/28/2020,41145,113,1531,38928341
Afghanistan,10/29/2020,41268,123,1534,38928341
Afghanistan,10/30/2020,41334,66,1535,38928341
Afghanistan,10/31/2020,41425,91,1538,38928341
Afghanistan,11/1/2020,41501,76,1538,38928341
Afghanistan,11/2/2020,41633,132,1544,38928341
Afghanistan,11/3/2020,41728,95,1547,38928341
Afghanistan,11/4/2020,41814,86,1551,38928341
Afghanistan,11/5/2020,41935,121,1557,38928341
Afghanistan,11/6/2020,41975,40,1557,38928341
Afghanistan,11/7/2020,42033,58,1559,38928341
Afghanistan,11/8/2020,42159,126,1565,38928341
Afghanistan,11/9/2020,42297,138,1577,38928341
Afghanistan,11/10/2020,42463,166,1580,38928341
Afghanistan,11/11/2020,42609,146,1584,38928341
Afghanistan,11/12/2020,42795,186,1594,38928341
Afghanistan,11/13/2020,42969,174,1598,38928341
Afghanistan,11/14/2020,43035,66,1608,38928341
Afghanistan,11/15/2020,43240,205,1620,38928341
Afghanistan,11/16/2020,43468,228,1635,38928341
Afghanistan,11/17/2020,43681,213,1641,38928341
Afghanistan,11/18/2020,43924,243,1648,38928341
Afghanistan,11/19/2020,44177,253,1653,38928341
Afghanistan,11/20/2020,44363,186,1666,38928341
Afghanistan,11/21/2020,44503,140,1678,38928341
Afghanistan,11/22/2020,44706,203,1690,38928341
Afghanistan,11/23/2020,44988,282,1702,38928341
Afghanistan,11/24/2020,45174,186,1715,38928341
Afghanistan,11/25/2020,45384,210,1728,38928341
Afghanistan,11/26/2020,45600,216,1737,38928341
Afghanistan,11/27/2020,45723,123,1740,38928341
Afghanistan,11/28/2020,45844,121,1752,38928341
Afghanistan,11/29/2020,46116,272,1774,38928341
Afghanistan,11/30/2020,46274,158,1795,38928341
Afghanistan,12/1/2020,46516,242,1822,38928341
Afghanistan,12/2/2020,46718,202,1841,38928341
Afghanistan,12/3/2020,46837,119,1846,38928341
Afghanistan,12/4/2020,46837,0,1846,38928341
Afghanistan,12/5/2020,47072,235,1864,38928341
Afghanistan,12/6/2020,47306,234,1874,38928341
Afghanistan,12/7/2020,47516,210,1900,38928341
Afghanistan,12/8/2020,47716,200,1906,38928341
Afghanistan,12/9/2020,47851,135,1919,38928341
Afghanistan,12/10/2020,48053,202,1935,38928341
Afghanistan,12/11/2020,48116,63,1945,38928341
Afghanistan,12/12/2020,48229,113,1956,38928341
Afghanistan,12/13/2020,48527,298,1965,38928341
Afghanistan,12/14/2020,48718,191,1969,38928341
Afghanistan,12/15/2020,48952,234,1995,38928341
Afghanistan,12/16/2020,49161,209,2011,38928341
Afghanistan,12/17/2020,49378,217,2025,38928341
Afghanistan,12/18/2020,49621,243,2030,38928341
Afghanistan,12/19/2020,49681,60,2047,38928341
Afghanistan,12/20/2020,49817,136,2067,38928341
Afghanistan,12/21/2020,50013,196,2082,38928341
Afghanistan,12/22/2020,50190,177,2096,38928341
Afghanistan,12/23/2020,50433,243,2117,38928341
Afghanistan,12/24/2020,50655,222,2126,38928341
Afghanistan,12/25/2020,50810,155,2139,38928341
Afghanistan,12/26/2020,50886,76,2149,38928341
Afghanistan,12/27/2020,51039,153,2160,38928341
Afghanistan,12/28/2020,51280,241,2174,38928341
Afghanistan,12/29/2020,51350,70,2179,38928341
Afghanistan,12/30/2020,51405,55,2181,38928341
Afghanistan,12/31/2020,51526,121,2191,38928341
Afghanistan,1/1/2021,51526,0,2191,38928341
Afghanistan,1/2/2021,51526,0,2191,38928341
Afghanistan,1/3/2021,51526,0,2191,38928341
Afghanistan,1/4/2021,53011,1485,2237,38928341
Afghanistan,1/5/2021,53105,94,2244,38928341
Afghanistan,1/6/2021,53105,0,2244,38928341
Afghanistan,1/7/2021,53207,102,2253,38928341
Afghanistan,1/8/2021,53332,125,2257,38928341
Afghanistan,1/9/2021,53400,68,2264,38928341
Afghanistan,1/10/2021,53489,89,2277,38928341
Afghanistan,1/11/2021,53538,49,2288,38928341
Afghanistan,1/12/2021,53584,46,2301,38928341
Afghanistan,1/13/2021,53584,0,2301,38928341
Afghanistan,1/14/2021,53775,191,2314,38928341
Afghanistan,1/15/2021,53831,56,2324,38928341
Afghanistan,1/16/2021,53938,107,2336,38928341
Afghanistan,1/17/2021,53984,46,2339,38928341
Afghanistan,1/18/2021,54062,78,2343,38928341
Afghanistan,1/19/2021,54141,79,2346,38928341
Afghanistan,1/20/2021,54278,137,2354,38928341
Afghanistan,1/21/2021,54403,125,2363,38928341
Afghanistan,1/22/2021,54483,80,2370,38928341
Afghanistan,1/23/2021,54559,76,2373,38928341
Afghanistan,1/24/2021,54595,36,2378,38928341
Afghanistan,1/25/2021,54672,77,2385,38928341
Afghanistan,1/26/2021,54750,78,2389,38928341
Afghanistan,1/27/2021,54854,104,2389,38928341
Afghanistan,1/28/2021,54891,37,2397,38928341
Afghanistan,1/29/2021,54939,48,2399,38928341
Afghanistan,1/30/2021,55008,69,2400,38928341
Afghanistan,1/31/2021,55023,15,2400,38928341
Afghanistan,2/1/2021,55059,36,2404,38928341
Afghanistan,2/2/2021,55121,62,2405,38928341
Afghanistan,2/3/2021,55174,53,2406,38928341
Afghanistan,2/4/2021,55231,57,2407,38928341
Afghanistan,2/5/2021,55265,34,2407,38928341
Afghanistan,2/6/2021,55330,65,2408,38928341
Afghanistan,2/7/2021,55335,5,2410,38928341
Afghanistan,2/8/2021,55359,24,2413,38928341
Afghanistan,2/9/2021,55384,25,2414,38928341
Afghanistan,2/10/2021,55402,18,2418,38928341
Afghanistan,2/11/2021,55420,18,2419,38928341
Afghanistan,2/12/2021,55445,25,2424,38928341
Afghanistan,2/13/2021,55473,28,2427,38928341
Afghanistan,2/14/2021,55492,19,2427,38928341
Afghanistan,2/15/2021,55514,22,2427,38928341
Afghanistan,2/16/2021,55518,4,2428,38928341
Afghanistan,2/17/2021,55540,22,2428,38928341
Afghanistan,2/18/2021,55557,17,2430,38928341
Afghanistan,2/19/2021,55575,18,2430,38928341
Afghanistan,2/20/2021,55580,5,2430,38928341
Afghanistan,2/21/2021,55604,24,2432,38928341
Afghanistan,2/22/2021,55617,13,2433,38928341
Afghanistan,2/23/2021,55646,29,2435,38928341
Afghanistan,2/24/2021,55664,18,2436,38928341
Afghanistan,2/25/2021,55680,16,2438,38928341
Afghanistan,2/26/2021,55696,16,2442,38928341
Afghanistan,2/27/2021,55707,11,2443,38928341
Afghanistan,2/28/2021,55714,7,2443,38928341
Afghanistan,3/1/2021,55733,19,2444,38928341
Afghanistan,3/2/2021,55759,26,2446,38928341
Afghanistan,3/3/2021,55770,11,2446,38928341
Afghanistan,3/4/2021,55775,5,2446,38928341
Afghanistan,3/5/2021,55827,52,2449,38928341
Afghanistan,3/6/2021,55840,13,2449,38928341
Afghanistan,3/7/2021,55847,7,2449,38928341
Afghanistan,3/8/2021,55876,29,2451,38928341
Afghanistan,3/9/2021,55876,0,2451,38928341
Afghanistan,3/10/2021,55894,18,2451,38928341
Afghanistan,3/11/2021,55917,23,2451,38928341
Afghanistan,3/12/2021,55959,42,2454,38928341
Afghanistan,3/13/2021,55959,0,2454,38928341
Afghanistan,3/14/2021,55985,26,2457,38928341
Afghanistan,3/15/2021,55985,0,2459,38928341
Afghanistan,3/16/2021,55995,10,2460,38928341
Afghanistan,3/17/2021,56016,21,2460,38928341
Afghanistan,3/18/2021,56044,28,2462,38928341
Afghanistan,3/19/2021,56069,25,2462,38928341
Afghanistan,3/20/2021,56093,24,2462,38928341
Afghanistan,3/21/2021,56103,10,2463,38928341
Afghanistan,3/22/2021,56153,50,2464,38928341
Afghanistan,3/23/2021,56177,24,2466,38928341
Afghanistan,3/24/2021,56192,15,2466,38928341
Afghanistan,3/25/2021,56226,34,2467,38928341
Afghanistan,3/26/2021,56254,28,2467,38928341
Afghanistan,3/27/2021,56290,36,2469,38928341
Afghanistan,3/28/2021,56294,4,2470,38928341
Afghanistan,3/29/2021,56322,28,2472,38928341
Afghanistan,3/30/2021,56384,62,2476,38928341
Afghanistan,3/31/2021,56454,70,2484,38928341
Afghanistan,4/1/2021,56517,63,2489,38928341
Afghanistan,4/2/2021,56572,55,2495,38928341
Afghanistan,4/3/2021,56595,23,2496,38928341
Afghanistan,4/4/2021,56676,81,2497,38928341
Afghanistan,4/5/2021,56717,41,2508,38928341
Afghanistan,4/6/2021,56779,62,2512,38928341
Afghanistan,4/7/2021,56873,94,2512,38928341
Afghanistan,4/8/2021,56943,70,2516,38928341
Afghanistan,4/9/2021,57019,76,2521,38928341
Afghanistan,4/10/2021,57144,125,2521,38928341
Afghanistan,4/11/2021,57160,16,2521,38928341
Afghanistan,4/12/2021,57242,82,2529,38928341
Afghanistan,4/13/2021,57364,122,2529,38928341
Afghanistan,4/14/2021,57492,128,2532,38928341
Afghanistan,4/15/2021,57534,42,2533,38928341
Afghanistan,4/16/2021,57612,78,2535,38928341
Afghanistan,4/17/2021,57721,109,2539,38928341
Afghanistan,4/18/2021,57793,72,2539,38928341
Afghanistan,4/19/2021,57898,105,2546,38928341
Afghanistan,4/20/2021,58037,139,2549,38928341
Afghanistan,4/21/2021,58214,177,2557,38928341
Afghanistan,4/22/2021,58312,98,2561,38928341
Afghanistan,4/23/2021,58542,230,2565,38928341
Afghanistan,4/24/2021,58730,188,2572,38928341
Afghanistan,4/25/2021,58843,113,2582,38928341
Afghanistan,4/26/2021,59015,172,2592,38928341
Afghanistan,4/27/2021,59225,210,2598,38928341
Algeria,2/25/2020,1,1,,43851043
Algeria,2/26/2020,1,0,,43851043
Algeria,2/27/2020,1,0,,43851043
Algeria,2/28/2020,1,0,,43851043
Algeria,2/29/2020,1,0,,43851043
Algeria,3/1/2020,1,0,,43851043
Algeria,3/2/2020,3,2,,43851043
Algeria,3/3/2020,5,2,,43851043
Algeria,3/4/2020,12,7,,43851043
Algeria,3/5/2020,12,0,,43851043
Algeria,3/6/2020,17,5,,43851043
Algeria,3/7/2020,17,0,,43851043
Algeria,3/8/2020,19,2,,43851043
Algeria,3/9/2020,20,1,,43851043
Algeria,3/10/2020,20,0,,43851043
Algeria,3/11/2020,20,0,,43851043
Algeria,3/12/2020,24,4,1,43851043
Algeria,3/13/2020,26,2,2,43851043
Algeria,3/14/2020,37,11,3,43851043
Algeria,3/15/2020,48,11,4,43851043
Algeria,3/16/2020,54,6,4,43851043
Algeria,3/17/2020,60,6,4,43851043
Algeria,3/18/2020,74,14,7,43851043
Algeria,3/19/2020,87,13,9,43851043
Algeria,3/20/2020,90,3,11,43851043
Algeria,3/21/2020,139,49,15,43851043
Algeria,3/22/2020,201,62,17,43851043
Algeria,3/23/2020,230,29,17,43851043
Algeria,3/24/2020,264,34,19,43851043
Algeria,3/25/2020,302,38,21,43851043
Algeria,3/26/2020,367,65,25,43851043
Algeria,3/27/2020,409,42,26,43851043
Algeria,3/28/2020,454,45,29,43851043
Algeria,3/29/2020,511,57,31,43851043
Algeria,3/30/2020,584,73,35,43851043
Algeria,3/31/2020,716,132,44,43851043
Algeria,4/1/2020,847,131,58,43851043
Algeria,4/2/2020,986,139,86,43851043
Algeria,4/3/2020,1171,185,105,43851043
Algeria,4/4/2020,1251,80,130,43851043
Algeria,4/5/2020,1320,69,152,43851043
Algeria,4/6/2020,1423,103,173,43851043
Algeria,4/7/2020,1468,45,193,43851043
Algeria,4/8/2020,1572,104,205,43851043
Algeria,4/9/2020,1666,94,235,43851043
Algeria,4/10/2020,1761,95,256,43851043
Algeria,4/11/2020,1825,64,275,43851043
Algeria,4/12/2020,1914,89,293,43851043
Algeria,4/13/2020,1983,69,313,43851043
Algeria,4/14/2020,2070,87,326,43851043
Algeria,4/15/2020,2160,90,336,43851043
Algeria,4/16/2020,2268,108,348,43851043
Algeria,4/17/2020,2418,150,364,43851043
Algeria,4/18/2020,2534,116,367,43851043
Algeria,4/19/2020,2629,95,375,43851043
Algeria,4/20/2020,2718,89,384,43851043
Algeria,4/21/2020,2811,93,392,43851043
Algeria,4/22/2020,2910,99,402,43851043
Algeria,4/23/2020,3007,97,407,43851043
Algeria,4/24/2020,3127,120,415,43851043
Algeria,4/25/2020,3256,129,419,43851043
